"Category","File","FileName","Function","Params","Line","Visibility","FileRole"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","abb_bonus_attack.scar","AbbBonus_SetupAttackersData","","4","public","attack"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","abb_bonus_attack.scar","AbbBonus_StartAttackersP2","","18","public","attack"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","abb_bonus_attack.scar","AbbBonus_StopAttackersP2","","27","public","attack"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","abb_bonus_attack.scar","AbbBonus_InitVillagerCountP2","","35","public","attack"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","abb_bonus_attack.scar","AbbBonus_UpdateEcon","context, data","44","public","attack"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","abb_bonus_attack.scar","AbbBonus_UpdateConstraints","context, data","72","public","attack"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","abb_bonus_attack.scar","AbbBonus_MonitorAttackers","context, data","140","public","attack"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","abb_bonus_attack.scar","AbbBonus_GetUnitDataByName","name, unitTable","225","public","attack"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","abb_bonus_attack.scar","AbbBonus_OnAttackSgroupRemoved","context, data","234","public","attack"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_capture.scar","abb_bonus_capture.scar","AbbBonus_Capture_Init","","4","public","capture"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_capture.scar","abb_bonus_capture.scar","AbbBonus_Capture_InitTemplars","","27","public","capture"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_capture.scar","abb_bonus_capture.scar","AbbBonus_Capture_InitTeutons","","82","public","capture"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_capture.scar","abb_bonus_capture.scar","AbbBonus_Capture_InitHospitallers","","138","public","capture"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_capture.scar","abb_bonus_capture.scar","AbbBonus_Capture_MergeTemplars","","193","public","capture"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_capture.scar","abb_bonus_capture.scar","AbbBonus_Capture_MergeTeutons","","198","public","capture"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_capture.scar","abb_bonus_capture.scar","AbbBonus_Capture_MergeHospitallers","","203","public","capture"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","abb_bonus_data.scar","AbbBonus_InitData","","4","public","data"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","abb_bonus_data.scar","GetRecipe","","29","public","data"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","abb_bonus_data.scar","AbbBonus_SetupPatrols","","224","public","data"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","abb_bonus_data.scar","AbbBonus_SetupRaiders","","251","public","data"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","abb_bonus_data.scar","AbbBonus_SetupUnitTables","","371","public","data"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","abb_bonus_data.scar","AbbBonus_SetupTechData","","529","public","data"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","abb_bonus_data.scar","AbbBonus_SetupAttackersP2","","563","public","data"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","abb_bonus_objectives.scar","AbbBonus_SetObjectiveConstants","","4","public","objectives"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","abb_bonus_objectives.scar","AbbBonus_RegisterObjectives","","8","public","objectives"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","abb_bonus_objectives.scar","AbbBonus_StartDocksObjective","","106","public","objectives"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","abb_bonus_objectives.scar","AbbBonus_CheckDocks","","111","public","objectives"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_patrol.scar","abb_bonus_patrol.scar","AbbBonus_CreatePatrol","player, unitTable, sgroupName, markerStem, numMarkers","5","public","patrol"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_patrol.scar","abb_bonus_patrol.scar","AbbBonus_MonitorPatrol","context, data","27","public","patrol"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_raid.scar","abb_bonus_raid.scar","AbbBonus_StartRaidersP2","","5","public","raid"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_raid.scar","abb_bonus_raid.scar","AbbBonus_StartNavalRaiders","","11","public","raid"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_raid.scar","abb_bonus_raid.scar","AbbBonus_StopRaidersP2","","17","public","raid"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_raid.scar","abb_bonus_raid.scar","AbbBonus_StopRaidersP5","","21","public","raid"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_raid.scar","abb_bonus_raid.scar","AbbBonus_MonitorRaiders","context, data","27","public","raid"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_raid.scar","abb_bonus_raid.scar","AbbBonus_OnRaidSgroupRemoved","context, data","136","public","raid"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_reinforce.scar","abb_bonus_reinforce.scar","AbbBonus_Reinforce_Init","","6","public","reinforce"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_reinforce.scar","abb_bonus_reinforce.scar","AbbBonus_Reinforce_Callback","player, id","60","public","reinforce"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_reinforce.scar","abb_bonus_reinforce.scar","AbbBonus_ShowEventCue","message","84","public","reinforce"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","abb_bonus_units.scar","AbbBonus_SetUnitTables","","4","public","units"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","abb_bonus_units.scar","AbbBonus_SpawnInitUnits","","24","public","units"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","abb_bonus_units.scar","AbbBonus_SetupHolyOrders","","69","public","units"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","abb_bonus_units.scar","AbbBonus_StartSubdueHolyOrders","","86","public","units"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","abb_bonus_units.scar","AbbBonus_SpawnUnitSequence","player, unitType, sbpType, markerStem, numMarkers, sgroup","91","public","units"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","abb_bonus_units.scar","AbbBonus_SpawnWallDefenders","player, spawnMarker, unitType, markerStem, numMarkers, unitsPerMarker","115","public","units"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","abb_bonus_units.scar","AbbBonus_SpawnBastionDefendersP2","","128","public","units"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","abb_bonus_units.scar","AbbBonus_GarrisonOutposts","player, egroup, unitType, unitNum","149","public","units"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_util.scar","abb_bonus_util.scar","AbbBonus_GetMarkers","markerStem, numMarkers","4","public","util"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_util.scar","abb_bonus_util.scar","AbbBonus_GetSiegeCount","sgroup","16","public","util"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus.scar","Mission_SetupPlayers","","16","public","bonus"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus.scar","Mission_SetupVariables","","126","public","bonus"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus.scar","Mission_Preset","","144","public","bonus"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus.scar","AbbBonus_OnConstructionComplete","context","207","public","bonus"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus.scar","Mission_PreStart","","223","public","bonus"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus.scar","Mission_Start","","229","public","bonus"
