"Category","File","GroupType","GroupName","Line"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","SGroup",,"37"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","SGroup",,"55"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","SGroup",,"82"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","SGroup",,"93"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","SGroup",,"260"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","SGroup",,"266"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","SGroup",,"288"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","SGroup",,"315"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","SGroup",,"342"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","SGroup",,"585"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","SGroup",,"592"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","SGroup",,"85"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","SGroup",,"97"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","SGroup",,"11"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","SGroup",,"10"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","SGroup",,"6"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","SGroup",,"7"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","SGroup",,"9"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","SGroup",,"218"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","SGroup",,"295"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","SGroup",,"16"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","SGroup",,"21"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","SGroup",,"19"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","SGroup",,"17"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","SGroup",,"15"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","SGroup",,"10"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","SGroup",,"12"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","SGroup",,"11"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","SGroup",,"9"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","SGroup",,"7"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","SGroup",,"14"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_training.scar","SGroup",,"201"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","SGroup",,"672"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","SGroup",,"721"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_armycontrol.scar","SGroup",,"198"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_armycontrol.scar","SGroup",,"156"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_armycontrol.scar","SGroup",,"155"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","SGroup",,"140"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","EGroup","eg_enemyControlPoints","203"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_data.scar","SGroup",,"87"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt.scar","SGroup",,"119"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","SGroup",,"284"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","SGroup",,"308"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","SGroup",,"307"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","SGroup",,"276"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","SGroup",,"173"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","SGroup",,"216"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","SGroup",,"253"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","SGroup",,"172"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","SGroup",,"171"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_objectives.scar","SGroup",,"246"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_pirates.scar","SGroup",,"6"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_pirates.scar","EGroup","eg_pirate_dock","7"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_raid.scar","SGroup",,"194"
