"Category","File","Objective","Context","Line"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1267\mon_chp3_xiangyang_1267.scar","OBJ_Advance","usage","434"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1267\obj_xiangyang1_phase1.scar","OBJ_Advance","definition","21"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OBJ_AgeUp","definition","322"
"campaign","scenarios\campaign\salisbury\sal_chp3_brokenpromise\obj_gather.scar","OBJ_AgeUp","usage","14"
"campaign","scenarios\historical_challenges\challenge_towton\challenge_towton_obj.scar","OBJ_AgeUpHint","definition","317"
"campaign","scenarios\historical_challenges\challenge_towton\challenge_towton.scar","OBJ_AgeUpHint","usage","446"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_objectives.scar","OBJ_Alexandria","definition","5"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1273\mon_chp3_xiangyang_1273.scar","OBJ_AlliedTradePartners","usage","996"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1273\obj_xiangyang2_phase1.scar","OBJ_AlliedTradePartners","usage","60"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1273\obj_xiangyang2_secondary.scar","OBJ_AlliedTradePartners","definition","8"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","OBJ_AllyGold","usage","166"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_objectives.scar","OBJ_AllyGold","usage","28"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea.scar","OBJ_AllyGold","usage","235"
"campaign","scenarios\cdn_challenge_missions\challenge_mission_malian\challenge_mission_malian.scar","OBJ_AmbushWaves","definition","723"
"campaign","scenarios\campaign\salisbury\sal_chp2_dinan\obj_expand.scar","OBJ_Archers","usage","150"
"campaign","scenarios\historical_challenges\challenge_agincourt\challenge_agincourt_obj.scar","OBJ_Army","definition","30"
"campaign","scenarios\campaign\mongol\mon_chp2_liegnitz\obj_destroypoles.scar","OBJ_ArmySurvive","definition","293"
"campaign","scenarios\campaign\hundred\hun_chp1_combat30\obj_approach.scar","OBJ_Arrive","usage","48"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","OBJ_AssaultCountdown","usage","335"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OBJ_AssaultCountdown","definition","127"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","OBJ_AssaultCountdown","usage","1126"
"campaign","scenarios\campaign\hundred\hun_chp4_rouen\obj_optionals.scar","OBJ_AssistTheBrothers","definition","9"
"campaign","scenarios\campaign\hundred\hun_chp4_rouen\sobj_capture_mine.scar","OBJ_AssistTheBrothers","usage","13"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\obj_attack_enemyarchery.scar","OBJ_AttackArchersEncampment","definition","9"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\obj_attackenemycavalry.scar","OBJ_AttackArchersEncampment","usage","303"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\obj_attackenemycavalry.scar","OBJ_AttackCavalryEncampment","definition","10"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\obj_military_feudal.scar","OBJ_AttackCavalryEncampment","usage","275"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\obj_attack_enemyarchery.scar","OBJ_AttackInfantryEncampment","usage","302"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\obj_attack_enemyinfantry.scar","OBJ_AttackInfantryEncampment","definition","9"
