"race_name","civ_code","menu_prefix","age_type","menu_group","menu_type","building_age","building_id","building_name","attrib_name","pbgid","is_landmark","wonder_age","classes"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","barracks","Barracks","building_unit_infantry_control_abb","199643","False","0","barracks;building;golden_age_tier_1_building_abb;golden_age_tier_2_building_abb;military_only_production;military_production_building;production_building;scar_barracks;siegeable"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","capital-town-center","Capital Town Center","building_town_center_capital_abb","199640","False","0","building;defensive_structure;emits_herding_interest;golden_age_tier_1_building_abb;golden_age_tier_2_building_abb;has_default_building_weapons;hq;land_food_deposit_4_by_4;landmark;production_building;resource_drop_off;select_special_building;siegeable;town_bell_target;town_center;town_center_capital;town_center_or_landmark"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","dock","Dock","building_unit_naval_abb","199644","False","0","building;golden_age_tier_1_building_abb;golden_age_tier_2_building_abb;military_only_production;naval_production_building;production_building;resource_drop_off;scar_dock;siegeable;trade_dock;trade_post"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","farm","Farm","building_resource_farm_control_abb","199636","False","0","building;farm;farm_field;resource;siegeable"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","house","House","building_house_control_abb","199635","False","0","building;house;scar_house;siegeable"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","lumber-camp","Lumber Camp","building_econ_wood_control_abb","199634","False","0","building;economy_building;golden_age_tier_1_building_abb;lumber_camp;resource_drop_off;scar_lumbercamp;siegeable"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","mill","Mill","building_econ_food_control_abb","199631","False","0","building;economy_building;emits_herding_interest;golden_age_tier_1_building_abb;gristmill;land_food_deposit_2_by_2;mill;resource_drop_off;scar_gristmill;siegeable"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","mining-camp","Mining Camp","building_econ_mining_camp_control_abb","199633","False","0","building;economy_building;gold_mining_camp;golden_age_tier_1_building_abb;mining_camp;resource_drop_off;scar_miningcamp;siegeable;stone_mining_camp"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","mosque","Mosque","building_unit_religious_control_abb","199646","False","0","building;monastery;mosque;production_building;relic_dropoff;scar_monastery;select_all_monastery;siegeable"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","outpost","Outpost","building_defense_outpost_control_abb","199623","False","0","building;defensive_structure;golden_age_tier_1_building_abb;military;outpost;scar_outpost;siegeable;tower;town_bell_target"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","palisade","Palisade","building_defense_palisade_abb","199626","False","0","building;defensive_structure;palisade_wall;palisade_wall_section;siegeable;wall"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","palisade-gate","Palisade Gate","building_defense_palisade_gate_abb","199625","False","0","building;defensive_structure;gate;palisade_gate;siegeable;wall"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","stable","Stable","building_unit_cavalry_control_abb","199642","False","0","building;golden_age_tier_1_building_abb;golden_age_tier_2_building_abb;military_only_production;military_production_building;packable_building;production_building;scar_stable;siegeable;stable"
"abbasid","ab","abb_","wing","abb_age1","dark_age","1","town-center","Town Center","building_town_center_abb","199641","False","0","building;emits_herding_interest;golden_age_tier_1_building_abb;golden_age_tier_2_building_abb;has_default_building_weapons;hq;land_food_deposit_4_by_4;production_building;resource_drop_off;scar_town_center;select_special_building;siegeable;town_bell_target;town_center;town_center_non_capital;town_center_or_landmark"
"abbasid","ab","abb_","wing","abb_age2","regular","2","archery-range","Archery Range","building_unit_ranged_control_abb","199645","False","0","archery_range;building;golden_age_tier_1_building_abb;golden_age_tier_2_building_abb;military_only_production;military_production_building;production_building;scar_archeryrange;siegeable"
"abbasid","ab","abb_","wing","abb_age2","regular","2","blacksmith","Blacksmith","building_tech_unit_infantry_control_abb","199637","False","0","blacksmith;building;golden_age_tier_1_building_abb;research_building;scar_blacksmith;siegeable"
"abbasid","ab","abb_","wing","abb_age2","regular","2","market","Market","building_econ_market_control_abb","199632","False","0","building;economy_building;exchange;market_keybinding;scar_market;siegeable;trade_post"
"abbasid","ab","abb_","wing","abb_age2","regular","2","stone-wall","Stone Wall","building_defense_wall_abb","199630","False","0","building;defensive_structure;siegeable;stone_wall;stone_wall_section;wall"
"abbasid","ab","abb_","wing","abb_age2","regular","2","stone-wall-gate","Stone Wall Gate","building_defense_wall_gate_abb","199629","False","0","building;defensive_structure;gate;siegeable;stone_gate;wall"
"abbasid","ab","abb_","wing","abb_age2","regular","2","stone-wall-tower","Stone Wall Tower","building_defense_tower_abb","199627","False","0","building;defensive_structure;golden_age_tier_1_building_abb;has_default_building_weapons;military;siegeable;stone_wall_tower;tower"
"abbasid","ab","abb_","wing","abb_age2_wonders","landmark","1","house-of-wisdom","House of Wisdom","building_house_of_wisdom_control_abb","199772","True","2","age_up_producer;building;golden_age_tier_1_building_abb;house_of_wisdom_abb;landmark;research_building;select_special_building;siegeable;town_center_or_landmark;trade_post;wonder;wonder_feudal_age"
"abbasid","ab","abb_","wing","abb_age3","regular","3","keep","Keep","building_defense_keep_control_abb","199622","False","0","building;castle;defensive_structure;golden_age_tier_1_building_abb;has_default_building_weapons;military;scar_keep;siegeable;town_bell_target"
"abbasid","ab","abb_","wing","abb_age3","regular","3","siege-workshop","Siege Workshop","building_unit_siege_control_abb","199647","False","0","building;golden_age_tier_1_building_abb;golden_age_tier_2_building_abb;military_only_production;military_production_building;production_building;scar_siegeworkshop;siege_workshop;siegeable"
"abbasid","ab","abb_","wing","abb_age4","regular","4","madrasa","Madrasa","building_tech_university_control_abb","199639","False","0","building;golden_age_tier_1_building_abb;research_building;scar_university;siegeable;university"
"abbasid","ab","abb_","wing","abb_age4","wonder","4","prayer-hall-of-uqba","Prayer Hall of Uqba","building_wonder_age4_great_mosque_control_abb","199648","False","0","audio_production_landmark;building;select_special_building;siegeable;wonder;wonder_imperial_age"
"abbasid_ha_01","ay","abb_ha_01_","wing","abb_ha_01_age1","dark_age","1","barracks","Barracks","building_unit_infantry_control_abb_ha_01","8048617","False","0","barracks;building;golden_age_tier_1_building_abb;golden_age_tier_2_building_abb;military_only_production;military_production_building;production_building;scar_barracks;siegeable"
