"Category","File","Variable","Line","Value"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","target_player","88","target_player = owner"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","currentUnitIndex","154","currentUnitIndex = 1"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","siegeCount","166","siegeCount = AbbBonus_GetSiegeCount(attackers.sgroup)"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","sg_temp","173","sg_temp = CreateUnits(attackers.player, {sbp = unitData.sbp, numSquads = 1}, unitData.spawn, sg_temp)"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","sg_temp","175","sg_temp = CreateUnits(attackers.player, {type = unitData.unitType, numSquads = 1}, unitData.spawn, sg_temp)"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","currentUnitIndex","186","currentUnitIndex = currentUnitIndex + 1"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","hpid","36","hpid = nil"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","OnComplete","51","OnComplete = function()"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","SetupUI","59","SetupUI = function()"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","hpid_landmark1","60","hpid_landmark1 = Objective_AddUIElements(OBJ_DestroyLandmarks, mkr_p2_landmark1, true, ""Landmark"", false, 5)"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","hpid_landmark2","61","hpid_landmark2 = Objective_AddUIElements(OBJ_DestroyLandmarks, mkr_p2_landmark2, true, ""Landmark"", false, 5)"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","OBJ_DestroyDocks","65","OBJ_DestroyDocks = {"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","Title","66","Title = ""Destroy the Byzantine Docks"","
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","Type","67","Type = ObjectiveType_Optional,"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","OnStart","68","OnStart = function()"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","SetupUI","71","SetupUI = function()"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","hpid_docks","73","hpid_docks = Objective_AddUIElements(OBJ_DestroyDocks, mkr_p5_docks_ui, true, ""Byzantine Docks"", false, 5)"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","OBJ_EstablishTrade","77","OBJ_EstablishTrade = {"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","Title","78","Title = ""Establish Trade with Allies"","
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","Type","79","Type = ObjectiveType_Optional,"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","OnStart","80","OnStart = function()"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","IsComplete","83","IsComplete = function()"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","OnComplete","90","OnComplete = function()"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","SetupUI","93","SetupUI = function()"
