"Category","File","Import","Line"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_attack.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_capture.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_capture.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_data.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_patrol.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_patrol.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_raid.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_raid.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_reinforce.scar","Cardinal.scar","2"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_reinforce.scar","CampaignPanel.scar","3"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_units.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_util.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_util.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus.events","4"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus_util.scar","5"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus_units.scar","6"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus_patrol.scar","7"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus_raid.scar","8"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus_attack.scar","9"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus_data.scar","10"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus_capture.scar","11"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus_objectives.scar","12"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","abb_bonus_reinforce.scar","13"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_ambush.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_ambush.scar","cardinal.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","test/common.scar","15"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","test/standard_test.scar","16"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","test/test_framework.scar","17"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","cardinal.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_data.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","cardinal.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_training.scar","training/campaigntraininggoals.scar","1"
