"Blueprint","Status","CallCount","Files","FirstFile","FirstLine"
"building_aqueduct_bastion_byz","FOUND","1","1","helpers/ags_blueprints.scar","742"
"building_archery_range_tem","FOUND","1","1","helpers/ags_blueprints.scar","825"
"building_barracks_tem","FOUND","1","1","helpers/ags_blueprints.scar","823"
"building_cistern_byz","FOUND","1","1","helpers/ags_blueprints.scar","741"
"building_defense_fortress_tem","FOUND","1","1","helpers/ags_blueprints.scar","812"
"building_defense_keep_byz","FOUND","1","1","helpers/ags_blueprints.scar","712"
"building_defense_keep_byz_ha_mac","FOUND","1","1","helpers/ags_blueprints.scar","844"
"building_defense_keep_chi","FOUND","1","1","helpers/ags_blueprints.scar","259"
"building_defense_keep_chi_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","595"
"building_defense_keep_control_abb","FOUND","1","1","helpers/ags_blueprints.scar","395"
"building_defense_keep_control_abb_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","566"
"building_defense_keep_control_rus","FOUND","1","1","helpers/ags_blueprints.scar","360"
"building_defense_keep_control_sul","FOUND","1","1","helpers/ags_blueprints.scar","465"
"building_defense_keep_control_sul_ha_tug","FOUND","1","1","helpers/ags_blueprints.scar","900"
"building_defense_keep_crow_discount_jpn_ha_sen","FOUND","1","1","helpers/ags_blueprints.scar","872"
"building_defense_keep_eng","FOUND","3","3","debug/cba_debug_coverage.scar","72"
"building_defense_keep_fre","FOUND","1","1","helpers/ags_blueprints.scar","292"
"building_defense_keep_fre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","623"
"building_defense_keep_hre","FOUND","1","1","helpers/ags_blueprints.scar","325"
"building_defense_keep_hre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","651"
"building_defense_keep_jpn","FOUND","1","1","helpers/ags_blueprints.scar","680"
"building_defense_keep_lan","FOUND","1","1","helpers/ags_blueprints.scar","780"
"building_defense_keep_mal","FOUND","1","1","helpers/ags_blueprints.scar","497"
"building_defense_keep_ott","FOUND","1","1","helpers/ags_blueprints.scar","530"
"building_defense_outpost_byz","FOUND","1","1","helpers/ags_blueprints.scar","738"
"building_defense_outpost_chi","FOUND","1","1","helpers/ags_blueprints.scar","286"
"building_defense_outpost_control_abb","FOUND","1","1","helpers/ags_blueprints.scar","423"
"building_defense_outpost_control_sul","FOUND","1","1","helpers/ags_blueprints.scar","492"
"building_defense_outpost_eng","FOUND","1","1","helpers/ags_blueprints.scar","252"
"building_defense_outpost_fre","FOUND","1","1","helpers/ags_blueprints.scar","319"
"building_defense_outpost_hre","FOUND","1","1","helpers/ags_blueprints.scar","353"
"building_defense_outpost_jpn","FOUND","1","1","helpers/ags_blueprints.scar","705"
"building_defense_outpost_lan","FOUND","1","1","helpers/ags_blueprints.scar","807"
"building_defense_outpost_mal","FOUND","1","1","helpers/ags_blueprints.scar","523"
"building_defense_outpost_mon","FOUND","1","1","helpers/ags_blueprints.scar","458"
"building_defense_outpost_ott","FOUND","1","1","helpers/ags_blueprints.scar","556"
"building_defense_outpost_tem","FOUND","1","1","helpers/ags_blueprints.scar","839"
"building_defense_palisade_abb","FOUND","1","1","helpers/ags_blueprints.scar","403"
"building_defense_palisade_abb_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","574"
"building_defense_palisade_byz","FOUND","1","1","helpers/ags_blueprints.scar","719"
"building_defense_palisade_byz_ha_mac","FOUND","1","1","helpers/ags_blueprints.scar","851"
"building_defense_palisade_chi","FOUND","1","1","helpers/ags_blueprints.scar","266"
"building_defense_palisade_chi_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","602"
"building_defense_palisade_eng","FOUND","1","1","helpers/ags_blueprints.scar","232"
"building_defense_palisade_fre","FOUND","1","1","helpers/ags_blueprints.scar","299"
"building_defense_palisade_fre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","630"
"building_defense_palisade_gate_abb","FOUND","1","1","helpers/ags_blueprints.scar","404"
"building_defense_palisade_gate_abb_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","575"
"building_defense_palisade_gate_byz","FOUND","1","1","helpers/ags_blueprints.scar","720"
"building_defense_palisade_gate_byz_ha_mac","FOUND","1","1","helpers/ags_blueprints.scar","852"
"building_defense_palisade_gate_chi","FOUND","1","1","helpers/ags_blueprints.scar","267"
"building_defense_palisade_gate_chi_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","603"
"building_defense_palisade_gate_eng","FOUND","1","1","helpers/ags_blueprints.scar","233"
"building_defense_palisade_gate_fre","FOUND","1","1","helpers/ags_blueprints.scar","300"
"building_defense_palisade_gate_fre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","631"
"building_defense_palisade_gate_hre","FOUND","1","1","helpers/ags_blueprints.scar","334"
"building_defense_palisade_gate_hre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","660"
"building_defense_palisade_gate_jpn","FOUND","1","1","helpers/ags_blueprints.scar","688"
"building_defense_palisade_gate_jpn_ha_sen","FOUND","1","1","helpers/ags_blueprints.scar","880"
"building_defense_palisade_gate_lan","FOUND","1","1","helpers/ags_blueprints.scar","788"
"building_defense_palisade_gate_mal","FOUND","1","1","helpers/ags_blueprints.scar","505"
"building_defense_palisade_gate_mon_ha_gol","FOUND","1","1","helpers/ags_blueprints.scar","755"
"building_defense_palisade_gate_ott","FOUND","1","1","helpers/ags_blueprints.scar","538"
"building_defense_palisade_gate_rus","FOUND","1","1","helpers/ags_blueprints.scar","368"
"building_defense_palisade_gate_sul","FOUND","1","1","helpers/ags_blueprints.scar","473"
"building_defense_palisade_gate_sul_ha_tug","FOUND","1","1","helpers/ags_blueprints.scar","908"
"building_defense_palisade_gate_tem","FOUND","1","1","helpers/ags_blueprints.scar","820"
"building_defense_palisade_hre","FOUND","1","1","helpers/ags_blueprints.scar","333"
"building_defense_palisade_hre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","659"
"building_defense_palisade_jpn","FOUND","1","1","helpers/ags_blueprints.scar","687"
"building_defense_palisade_jpn_ha_sen","FOUND","1","1","helpers/ags_blueprints.scar","879"
"building_defense_palisade_lan","FOUND","1","1","helpers/ags_blueprints.scar","787"
"building_defense_palisade_mal","FOUND","1","1","helpers/ags_blueprints.scar","504"
"building_defense_palisade_mon_ha_gol","FOUND","1","1","helpers/ags_blueprints.scar","754"
"building_defense_palisade_ott","FOUND","1","1","helpers/ags_blueprints.scar","537"
"building_defense_palisade_rus","FOUND","1","1","helpers/ags_blueprints.scar","367"
"building_defense_palisade_sul","FOUND","1","1","helpers/ags_blueprints.scar","472"
"building_defense_palisade_sul_ha_tug","FOUND","1","1","helpers/ags_blueprints.scar","907"
"building_defense_palisade_wall_tem","FOUND","1","1","helpers/ags_blueprints.scar","819"
"building_defense_stone_tower_tem","FOUND","1","1","helpers/ags_blueprints.scar","841"
"building_defense_stone_wall_gate_tem","FOUND","1","1","helpers/ags_blueprints.scar","840"
"building_defense_stone_wall_tem","FOUND","1","1","helpers/ags_blueprints.scar","833"
"building_defense_tower_abb","FOUND","1","1","helpers/ags_blueprints.scar","425"
"building_defense_tower_byz","FOUND","1","1","helpers/ags_blueprints.scar","740"
"building_defense_tower_chi","FOUND","1","1","helpers/ags_blueprints.scar","288"
"building_defense_tower_eng","FOUND","1","1","helpers/ags_blueprints.scar","254"
"building_defense_tower_fre","FOUND","1","1","helpers/ags_blueprints.scar","321"
"building_defense_tower_hre","FOUND","1","1","helpers/ags_blueprints.scar","355"
"building_defense_tower_jpn","FOUND","1","1","helpers/ags_blueprints.scar","707"
"building_defense_tower_lan","FOUND","1","1","helpers/ags_blueprints.scar","809"
"building_defense_tower_mal","FOUND","1","1","helpers/ags_blueprints.scar","525"
"building_defense_tower_ott","FOUND","1","1","helpers/ags_blueprints.scar","558"
"building_defense_tower_rus","FOUND","1","1","helpers/ags_blueprints.scar","389"
"building_defense_tower_sul","FOUND","1","1","helpers/ags_blueprints.scar","494"
"building_defense_wall_abb","FOUND","1","1","helpers/ags_blueprints.scar","417"
"building_defense_wall_abb_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","587"
"building_defense_wall_byz","FOUND","1","1","helpers/ags_blueprints.scar","732"
"building_defense_wall_byz_ha_mac","FOUND","1","1","helpers/ags_blueprints.scar","865"
"building_defense_wall_chi","FOUND","1","1","helpers/ags_blueprints.scar","280"
"building_defense_wall_chi_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","615"
"building_defense_wall_eng","FOUND","1","1","helpers/ags_blueprints.scar","246"
"building_defense_wall_fre","FOUND","1","1","helpers/ags_blueprints.scar","313"
"building_defense_wall_fre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","643"
"building_defense_wall_gate_abb","FOUND","1","1","helpers/ags_blueprints.scar","424"
"building_defense_wall_gate_byz","FOUND","1","1","helpers/ags_blueprints.scar","739"
"building_defense_wall_gate_chi","FOUND","1","1","helpers/ags_blueprints.scar","287"
"building_defense_wall_gate_eng","FOUND","1","1","helpers/ags_blueprints.scar","253"
"building_defense_wall_gate_fre","FOUND","1","1","helpers/ags_blueprints.scar","320"
"building_defense_wall_gate_hre","FOUND","1","1","helpers/ags_blueprints.scar","354"
"building_defense_wall_gate_jpn","FOUND","1","1","helpers/ags_blueprints.scar","706"
"building_defense_wall_gate_lan","FOUND","1","1","helpers/ags_blueprints.scar","808"
"building_defense_wall_gate_mal","FOUND","1","1","helpers/ags_blueprints.scar","524"
"building_defense_wall_gate_ott","FOUND","1","1","helpers/ags_blueprints.scar","557"
"building_defense_wall_gate_rus","FOUND","1","1","helpers/ags_blueprints.scar","388"
"building_defense_wall_gate_sul","FOUND","1","1","helpers/ags_blueprints.scar","493"
"building_defense_wall_hre","FOUND","1","1","helpers/ags_blueprints.scar","347"
"building_defense_wall_hre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","672"
"building_defense_wall_jpn","FOUND","1","1","helpers/ags_blueprints.scar","699"
"building_defense_wall_jpn_ha_sen","FOUND","1","1","helpers/ags_blueprints.scar","893"
"building_defense_wall_lan","FOUND","1","1","helpers/ags_blueprints.scar","801"
"building_defense_wall_mal","FOUND","1","1","helpers/ags_blueprints.scar","517"
"building_defense_wall_ott","FOUND","1","1","helpers/ags_blueprints.scar","550"
"building_defense_wall_rus","FOUND","1","1","helpers/ags_blueprints.scar","381"
"building_defense_wall_sul","FOUND","1","1","helpers/ags_blueprints.scar","486"
"building_defense_wall_sul_ha_tug","FOUND","1","1","helpers/ags_blueprints.scar","921"
"building_defense_wooden_fort_rus","FOUND","1","1","helpers/ags_blueprints.scar","387"
"building_dock_tem","FOUND","1","1","helpers/ags_blueprints.scar","827"
"building_dynasty_village_control_chi","FOUND","6","2","debug/cba_debug_autopop.scar","95"
"building_econ_food_control_abb","FOUND","1","1","helpers/ags_blueprints.scar","420"
"building_econ_food_control_abb_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","590"
"building_econ_food_control_byz","FOUND","1","1","helpers/ags_blueprints.scar","735"
"building_econ_food_control_byz_ha_mac","FOUND","1","1","helpers/ags_blueprints.scar","868"
"building_econ_food_control_chi","FOUND","1","1","helpers/ags_blueprints.scar","283"
"building_econ_food_control_chi_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","618"
"building_econ_food_control_eng","FOUND","1","1","helpers/ags_blueprints.scar","249"
"building_econ_food_control_fre","FOUND","1","1","helpers/ags_blueprints.scar","316"
"building_econ_food_control_fre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","646"
"building_econ_food_control_hre","FOUND","1","1","helpers/ags_blueprints.scar","350"
"building_econ_food_control_hre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","675"
"building_econ_food_control_rus","FOUND","1","1","helpers/ags_blueprints.scar","384"
"building_econ_food_control_sul","FOUND","1","1","helpers/ags_blueprints.scar","489"
"building_econ_food_mal","FOUND","1","1","helpers/ags_blueprints.scar","520"
"building_econ_food_ott","FOUND","1","1","helpers/ags_blueprints.scar","553"
"building_econ_market_control_abb","FOUND","1","1","helpers/ags_blueprints.scar","398"
"building_econ_market_control_abb_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","569"
"building_econ_market_control_byz","FOUND","1","1","helpers/ags_blueprints.scar","715"
"building_econ_market_control_byz_ha_mac","FOUND","1","1","helpers/ags_blueprints.scar","847"
"building_econ_market_control_chi","FOUND","1","1","helpers/ags_blueprints.scar","262"
"building_econ_market_control_chi_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","598"
"building_econ_market_control_eng","FOUND","1","1","helpers/ags_blueprints.scar","228"
"building_econ_market_control_fre","FOUND","1","1","helpers/ags_blueprints.scar","295"
"building_econ_market_control_fre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","626"
"building_econ_market_control_hre","FOUND","1","1","helpers/ags_blueprints.scar","329"
"building_econ_market_control_hre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","655"
"building_econ_market_control_rus","FOUND","1","1","helpers/ags_blueprints.scar","363"
"building_econ_market_control_sul","FOUND","1","1","helpers/ags_blueprints.scar","468"
"building_econ_market_control_sul_ha_tug","FOUND","1","1","helpers/ags_blueprints.scar","903"
"building_econ_market_jpn","FOUND","1","1","helpers/ags_blueprints.scar","683"
"building_econ_market_lan","FOUND","1","1","helpers/ags_blueprints.scar","783"
"building_econ_market_mal","FOUND","1","1","helpers/ags_blueprints.scar","500"
"building_econ_market_mon","FOUND","1","1","helpers/ags_blueprints.scar","433"
"building_econ_market_mon_ha_gol","FOUND","1","1","helpers/ags_blueprints.scar","750"
"building_econ_market_ott","FOUND","1","1","helpers/ags_blueprints.scar","533"
"building_econ_mill_lan","FOUND","1","1","helpers/ags_blueprints.scar","804"
"building_econ_mining_camp_control_abb","FOUND","1","1","helpers/ags_blueprints.scar","418"
"building_econ_mining_camp_control_abb_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","588"
"building_econ_mining_camp_control_byz","FOUND","1","1","helpers/ags_blueprints.scar","733"
"building_econ_mining_camp_control_byz_ha_mac","FOUND","1","1","helpers/ags_blueprints.scar","866"
"building_econ_mining_camp_control_chi","FOUND","1","1","helpers/ags_blueprints.scar","281"
"building_econ_mining_camp_control_chi_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","616"
"building_econ_mining_camp_control_eng","FOUND","1","1","helpers/ags_blueprints.scar","247"
"building_econ_mining_camp_control_fre","FOUND","1","1","helpers/ags_blueprints.scar","314"
"building_econ_mining_camp_control_fre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","644"
"building_econ_mining_camp_control_hre","FOUND","1","1","helpers/ags_blueprints.scar","348"
"building_econ_mining_camp_control_hre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","673"
"building_econ_mining_camp_control_rus","FOUND","1","1","helpers/ags_blueprints.scar","382"
"building_econ_mining_camp_control_sul","FOUND","1","1","helpers/ags_blueprints.scar","487"
"building_econ_mining_camp_jpn","FOUND","1","1","helpers/ags_blueprints.scar","700"
"building_econ_mining_camp_jpn_ha_sen","FOUND","1","1","helpers/ags_blueprints.scar","894"
"building_econ_mining_camp_lan","FOUND","1","1","helpers/ags_blueprints.scar","802"
"building_econ_mining_camp_mal","FOUND","1","1","helpers/ags_blueprints.scar","518"
"building_econ_mining_camp_ott","FOUND","1","1","helpers/ags_blueprints.scar","551"
"building_econ_ranch_mal","FOUND","3","2","gameplay/ags_auto_resources.scar","94"
"building_econ_wood_control_abb","FOUND","1","1","helpers/ags_blueprints.scar","419"
"building_econ_wood_control_abb_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","589"
"building_econ_wood_control_byz","FOUND","1","1","helpers/ags_blueprints.scar","734"
"building_econ_wood_control_byz_ha_mac","FOUND","1","1","helpers/ags_blueprints.scar","867"
"building_econ_wood_control_chi","FOUND","1","1","helpers/ags_blueprints.scar","282"
"building_econ_wood_control_chi_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","617"
"building_econ_wood_control_eng","FOUND","1","1","helpers/ags_blueprints.scar","248"
"building_econ_wood_control_fre","FOUND","1","1","helpers/ags_blueprints.scar","315"
"building_econ_wood_control_fre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","645"
"building_econ_wood_control_hre","FOUND","1","1","helpers/ags_blueprints.scar","349"
"building_econ_wood_control_hre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","674"
"building_econ_wood_control_rus","FOUND","1","1","helpers/ags_blueprints.scar","383"
"building_econ_wood_control_sul","FOUND","1","1","helpers/ags_blueprints.scar","488"
"building_econ_wood_jpn","FOUND","1","1","helpers/ags_blueprints.scar","701"
"building_econ_wood_jpn_ha_sen","FOUND","1","1","helpers/ags_blueprints.scar","895"
"building_econ_wood_lan","FOUND","1","1","helpers/ags_blueprints.scar","803"
"building_econ_wood_mal","FOUND","1","1","helpers/ags_blueprints.scar","519"
"building_econ_wood_ott","FOUND","1","1","helpers/ags_blueprints.scar","552"
"building_fortified_outpost_mon_ha_gol","FOUND","1","1","helpers/ags_blueprints.scar","774"
"building_house","FOUND","1","1","debug/cba_debug_inspectors.scar","1788"
"building_house_control_abb","FOUND","1","1","helpers/ags_blueprints.scar","412"
"building_house_control_abb_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","583"
"building_house_control_byz","FOUND","1","1","helpers/ags_blueprints.scar","728"
"building_house_control_byz_ha_mac","FOUND","1","1","helpers/ags_blueprints.scar","860"
"building_house_control_chi","FOUND","1","1","helpers/ags_blueprints.scar","275"
"building_house_control_chi_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","611"
"building_house_control_eng","FOUND","1","1","helpers/ags_blueprints.scar","241"
"building_house_control_fre","FOUND","1","1","helpers/ags_blueprints.scar","308"
"building_house_control_fre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","639"
"building_house_control_hre","FOUND","1","1","helpers/ags_blueprints.scar","342"
"building_house_control_hre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","668"
"building_house_control_rus","FOUND","1","1","helpers/ags_blueprints.scar","376"
"building_house_control_sul","FOUND","1","1","helpers/ags_blueprints.scar","481"
"building_house_control_sul_ha_tug","FOUND","1","1","helpers/ags_blueprints.scar","916"
"building_house_control_tem","FOUND","1","1","helpers/ags_blueprints.scar","828"
"building_house_jpn","FOUND","1","1","helpers/ags_blueprints.scar","696"
"building_house_jpn_ha_sen","FOUND","1","1","helpers/ags_blueprints.scar","888"
"building_house_lan","FOUND","1","1","helpers/ags_blueprints.scar","796"
"building_house_mal","FOUND","1","1","helpers/ags_blueprints.scar","513"
"building_house_mon","FOUND","1","1","helpers/ags_blueprints.scar","445"
"building_house_mon_ha_gol","FOUND","1","1","helpers/ags_blueprints.scar","763"
"building_house_moving_mon","FOUND","3","2","helpers/ags_blueprints.scar","437"
"building_house_of_wisdom_control_abb","FOUND","1","1","helpers/ags_blueprints.scar","402"
"building_house_of_wisdom_control_abb_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","573"
"building_house_ott","FOUND","1","1","helpers/ags_blueprints.scar","546"
"building_landmark_age2_westminster_palace_eng","FOUND","1","1","helpers/ags_blueprints.scar","227"
"building_landmark_age3_hohenzollern_castle_hre","FOUND","1","1","helpers/ags_blueprints.scar","328"
"building_landmark_age3_hohenzollern_castle_hre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","654"
"building_landmark_golden_tent_mon_ha_gol","FOUND","2","1","cba.scar","961"
"building_market_tem","FOUND","1","1","helpers/ags_blueprints.scar","815"
"building_military_school_ott","FOUND","1","1","helpers/ags_blueprints.scar","559"
"building_mill_tem","FOUND","1","1","helpers/ags_blueprints.scar","836"
"building_mining_camp_tem","FOUND","1","1","helpers/ags_blueprints.scar","834"
"building_monastery_tem","FOUND","1","1","helpers/ags_blueprints.scar","822"
"building_open_pit_mine_small_mal","FOUND","1","1","helpers/ags_blueprints.scar","527"
"building_pasture_mon","FOUND","1","1","helpers/ags_blueprints.scar","461"
"building_resource_farm_byz","FOUND","1","1","helpers/ags_blueprints.scar","737"
"building_resource_farm_chi","FOUND","1","1","helpers/ags_blueprints.scar","285"
"building_resource_farm_control_abb","FOUND","1","1","helpers/ags_blueprints.scar","422"
"building_resource_farm_control_rus","FOUND","1","1","helpers/ags_blueprints.scar","386"
"building_resource_farm_control_sul","FOUND","1","1","helpers/ags_blueprints.scar","491"
"building_resource_farm_eng","FOUND","1","1","helpers/ags_blueprints.scar","251"
"building_resource_farm_fre","FOUND","1","1","helpers/ags_blueprints.scar","318"
"building_resource_farm_hre","FOUND","1","1","helpers/ags_blueprints.scar","352"
"building_resource_farm_jpn","FOUND","1","1","helpers/ags_blueprints.scar","704"
"building_resource_farm_lan","FOUND","1","1","helpers/ags_blueprints.scar","806"
"building_resource_farm_mal","FOUND","1","1","helpers/ags_blueprints.scar","522"
"building_resource_farm_ott","FOUND","1","1","helpers/ags_blueprints.scar","555"
"building_resource_farm_tem","FOUND","1","1","helpers/ags_blueprints.scar","838"
"building_resource_pasture_mon_ha_gol","FOUND","1","1","helpers/ags_blueprints.scar","777"
"building_siege_workshop_tem","FOUND","2","2","gameplay/cba_siege_data.scar","562"
"building_stable_tem","FOUND","1","1","helpers/ags_blueprints.scar","824"
"building_tech_blacksmith_lan","FOUND","1","1","helpers/ags_blueprints.scar","797"
"building_tech_blacksmith_tem","FOUND","1","1","helpers/ags_blueprints.scar","829"
"building_tech_unit_infantry_control_abb","FOUND","1","1","helpers/ags_blueprints.scar","413"
"building_tech_unit_infantry_control_abb_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","584"
"building_tech_unit_infantry_control_byz","FOUND","1","1","helpers/ags_blueprints.scar","729"
"building_tech_unit_infantry_control_chi","FOUND","1","1","helpers/ags_blueprints.scar","276"
"building_tech_unit_infantry_control_chi_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","612"
"building_tech_unit_infantry_control_eng","FOUND","1","1","helpers/ags_blueprints.scar","242"
"building_tech_unit_infantry_control_fre","FOUND","1","1","helpers/ags_blueprints.scar","309"
"building_tech_unit_infantry_control_fre_ha_01","FOUND","1","1","helpers/ags_blueprints.scar","640"
