"Function","Params","Category","File","Line","Description"
"Debug_AdvancedStressAll","","advanced_stress","cba_debug_advanced_stress.scar","510",""
"Debug_AdvStress_BlueprintStorm","","advanced_stress","cba_debug_advanced_stress.scar","324",""
"Debug_AdvStress_BuildingLimitOscillation","","advanced_stress","cba_debug_advanced_stress.scar","177",""
"Debug_AdvStress_ConcurrentThrash","","advanced_stress","cba_debug_advanced_stress.scar","410",""
"Debug_AdvStress_MaxPopPressure","","advanced_stress","cba_debug_advanced_stress.scar","248",""
"Debug_AdvStress_RapidElimination","","advanced_stress","cba_debug_advanced_stress.scar","84",""
"Debug_AdvStress_SiegeCascade","","advanced_stress","cba_debug_advanced_stress.scar","21",""
"Debug_AIBehavior","","ai_behavior","cba_debug_ai_behavior.scar","567",""
"Debug_AIBehavior_Scenario","n","ai_behavior","cba_debug_ai_behavior.scar","545",""
"Debug_AIBehaviorStatus","","ai_behavior","cba_debug_ai_behavior.scar","652",""
"debug_autopop","","autopop","cba_debug_autopop.scar","314","Shorthand alias"
"Debug_AutoPop_CheckBuildingLocks","","autopop","cba_debug_autopop.scar","54",""
"Debug_AutoPop_CheckCapAlignment","","autopop","cba_debug_autopop.scar","126",""
"Debug_AutoPop_CheckEventDriven","","autopop","cba_debug_autopop.scar","249",""
"Debug_AutoPop_CheckReconcilerState","","autopop","cba_debug_autopop.scar","174",""
"Debug_AutoPop_CheckRewardSuppression","","autopop","cba_debug_autopop.scar","279",""
"Debug_AutoPop_CheckUpgradeLocks","","autopop","cba_debug_autopop.scar","114",""
"Debug_AutoPop_FullValidation","","autopop","cba_debug_autopop.scar","17","Single-command entry point to run comprehensive auto-pop verification"
"Debug_AutoPop_PrintSummary","","autopop","cba_debug_autopop.scar","211",""
"Debug_ValidateAutoPopulation","","autopop","cba_debug_autopop.scar","309","Quick entry points for console (callable directly) Example: Debug_ValidateAutoPopulation()"
"Debug_BlueprintAudit","","blueprint_audit","cba_debug_blueprint_audit.scar","14","Full audit: checks every blueprint string in AGS_ENTITY_TABLE"
"Debug_BlueprintAudit_Civ","civ_name","blueprint_audit","cba_debug_blueprint_audit.scar","121","Single-civ detail: shows every key and its blueprint + exists status"
"Debug_BlueprintAudit_LeaverFallback","","blueprint_audit","cba_debug_blueprint_audit.scar","226","Leaver Fallback Audit: validates _LEAVER_CIV_UNIQUE_FALLBACK entries resolve for every receiver civ. Reports which civ×fallback pairs would fail at runtime. Usage: Debug_BlueprintAudit_LeaverFallback()"
"Debug_DumpBlueprintsForSuffix","suffix","blueprint_audit","cba_debug_blueprint_audit.scar","180","PBG suffix dump: enumerates all Entity/Squad blueprints whose path contains suffix Usage: Debug_DumpBlueprintsForSuffix(""_lan"") or Debug_DumpBlueprintsForSuffix(""_mon_ha_gol"")"
"Debug_EnumerateAllCivUnits","opt_civ","blueprint_audit","cba_debug_blueprint_audit.scar","337",""
"Debug_CivOverview_Audit","","civ_overview","cba_debug_civ_overview.scar","294",""
"Debug_CivOverview_Build","","civ_overview","cba_debug_civ_overview.scar","87",""
"Debug_CivOverview_Civ","civ","civ_overview","cba_debug_civ_overview.scar","271",""
"Debug_CivOverview_DumpStructured","include_entries","civ_overview","cba_debug_civ_overview.scar","311",""
"Debug_CivOverview_Summary","","civ_overview","cba_debug_civ_overview.scar","257",""
"Debug_ComprehensiveStress","","comprehensive_stress","cba_debug_comprehensive_stress.scar","1251",""
"Debug_ComprehensiveStress_Cat","n","comprehensive_stress","cba_debug_comprehensive_stress.scar","1221",""
"Debug_ComprehensiveStressStatus","","comprehensive_stress","cba_debug_comprehensive_stress.scar","1357",""
"Debug_ComprehensiveStressStop","","comprehensive_stress","cba_debug_comprehensive_stress.scar","1369",""
"Debug_ClearHooks","","core","cba_debug_core.scar","397",""
"Debug_Continue","","core","cba_debug_core.scar","308",""
"Debug_FireHook","name","core","cba_debug_core.scar","373",""
"Debug_ListHooks","","core","cba_debug_core.scar","386",""
"Debug_RegisterHook","name, fn","core","cba_debug_core.scar","364",""
"Debug_RunAll","step","core","cba_debug_core.scar","409",""
"Debug_RunFullValidation","","core","cba_debug_core.scar","451",""
"Debug_Skip","","core","cba_debug_core.scar","321",""
"Debug_StepMode","enabled","core","cba_debug_core.scar","299",""
"Debug_StepStatus","","core","cba_debug_core.scar","331",""
"Debug_CoverageBatch","n","coverage","cba_debug_coverage.scar","419",""
"Debug_CoverageTest","","coverage","cba_debug_coverage.scar","363",""
"Debug_DataExtract_AllBlueprints","","data_extract","cba_debug_data_extract.scar","66","Stage 2b-1: Full BP enumeration (Entity, Squad, Upgrade path names)"
"Debug_DataExtract_BuildingData","","data_extract","cba_debug_data_extract.scar","166","Stage 2b-3: Building data (garrison capacity + base cost + build time) Iterates AGS_ENTITY_TABLE for building_ entries and extracts properties."
"Debug_DataExtract_RaceSquads","","data_extract","cba_debug_data_extract.scar","127","Stage 2b-2: Per-race squad inventory Uses World_GetPossibleSquadsCount/Blueprint to enumerate what each race can train."
"Debug_DataExtract_Summary","","data_extract","cba_debug_data_extract.scar","283","Summary: quick count of extractable data (no full dump)"
"Debug_DataExtract_UnitCosts","","data_extract","cba_debug_data_extract.scar","210","Stage 2b-4: Unit costs (base cost + pop cost by cap type) Iterates AGS_ENTITY_TABLE for unit_ entries and extracts cost/pop data from BPs."
"Debug_ForceEliminatePlayer","player_idx","destructive","cba_debug_destructive.scar","85",""
"Debug_ForceKeepDestroy","player_idx","destructive","cba_debug_destructive.scar","38",""
"Debug_ForceSurrender","player_idx","destructive","cba_debug_destructive.scar","125",""
"Debug_ForceTransferTest","src_idx, dst_idx","destructive","cba_debug_destructive.scar","158",""
"Debug_ValidateSpawnAnchors","","destructive","cba_debug_destructive.scar","214",""
"Debug_EventProbes","","event_probes","cba_debug_event_probes.scar","180",""
"Debug_Confirm","","helpers","cba_debug_helpers.scar","471",""
"Debug_Demo_RewardPlayback","player_idx, kill_grant","helpers","cba_debug_helpers.scar","796",""
"Debug_FocusPlayer","player_idx","helpers","cba_debug_helpers.scar","492",""
"Debug_FocusPosition","x, y, z","helpers","cba_debug_helpers.scar","509",""
"Debug_Get_EliminationSettleState","","helpers","cba_debug_helpers.scar","1060",""
"Debug_Get_RankingAnimKeyAudit","","helpers","cba_debug_helpers.scar","1163",""
"Debug_Get_RankingOverview","","helpers","cba_debug_helpers.scar","1206",""
"Debug_Get_RewardHealthSummary","player_idx","helpers","cba_debug_helpers.scar","933",""
"Debug_Get_RewardPlaybackState","player_idx","helpers","cba_debug_helpers.scar","865",""
