"Subsystem","File","FileName","Function","Params","Line","Visibility","FileRole"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetupSettings","options","233","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_EarlyInitializations","","301","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_OnGameOver","","307","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_OnLocalPlayerChanged","context","316","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_DefineWinConditions","category","328","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_DefineGameConditions","category","355","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_DefineWinSettings","category","381","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_DefineGameSettings","category","423","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_DefinePlayerSettings","category","467","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_DefineMatchSettings","category","473","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_DefineLegacySettings","category","540","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_DefineHandicapSettings","category","567","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_DefineCbaSettings","category","574","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_DefineRestrictionSettings","category","582","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetMaintainTeamBalance","maintain_team_balance","614","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetSettlement","settlement","641","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetTreaty","treaty","653","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetTreatyTimer","treaty","661","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetTeamVictory","team_victory","691","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetWonderTimer","wonder_timer","701","public","core"
