"Mode","Civ","Threshold","Type","Blueprint","Count","Age","Condition","Title","File","Line"
"arena","abbasid","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_spearman_1_abb","5","","","","cba_rewards_arena.scar","206"
"arena","abbasid","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_abb","3","2","","Age II - Swordsman","cba_rewards_arena.scar","210"
"arena","abbasid","200","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_camel_rider_3_abb","2","3","","Age III - Cavalry","cba_rewards_arena.scar","218"
"arena","byzantine","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_spearman_1_byz","5","","","","cba_rewards_arena.scar","305"
"arena","byzantine","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_byz","3","2","","Age II - Limitanei","cba_rewards_arena.scar","309"
"arena","byzantine","200","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_cataphract_3_byz","2","3","","Age III - Cataphract","cba_rewards_arena.scar","317"
"arena","chinese","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_spearman_1_chi","5","","","","cba_rewards_arena.scar","56"
"arena","chinese","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_chi","2","2","","Age II - Zhuge Nu","cba_rewards_arena.scar","60"
"arena","chinese","200","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_firelancer_3_chi","5","3","","Age III - Firelancers","cba_rewards_arena.scar","68"
"arena","english","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_1_eng","3","","","","cba_rewards_arena.scar","30"
"arena","english","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_manatarms_1_eng","2","2","","Age II - Longbows","cba_rewards_arena.scar","34"
"arena","english","250","upgradeBP+unit_upgrade+age","upgrade_unit_manatarms_2_eng|unit_manatarms_3_eng","2","3","","Age III - Infantry Upgrades","cba_rewards_arena.scar","42"
"arena","french","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_spearman_1_fre","5","","","","cba_rewards_arena.scar","82"
"arena","french","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_horseman_2_fre","3","2","","Age II - Cavalry","cba_rewards_arena.scar","86"
"arena","french","200","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_horseman_3_fre","3","3","","Age III - Cavalry Upgrade","cba_rewards_arena.scar","94"
"arena","hre","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_spearman_1_hre","5","","","","cba_rewards_arena.scar","107"
"arena","hre","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_hre","4","2","","Age II - Man at Arms","cba_rewards_arena.scar","111"
"arena","hre","200","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_hre","4","2","","Age III - Landsknecht","cba_rewards_arena.scar","119"
"arena","japanese","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_spearman_1_jpn","5","","","","cba_rewards_arena.scar","281"
"arena","japanese","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_jpn","3","2","","Age II - Archers","cba_rewards_arena.scar","285"
"arena","japanese","200","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_samurai_3_jpn","3","3","","Age III - Samurai","cba_rewards_arena.scar","293"
"arena","malian","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_spearman_1_mal","5","","","","cba_rewards_arena.scar","231"
"arena","malian","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_mal","3","2","","Age II - Gbeto","cba_rewards_arena.scar","235"
"arena","malian","200","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_mal","2","3","","Age III - +1 Gbeto","cba_rewards_arena.scar","243"
"arena","mongol","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_spearman_1_mon","5","","","","cba_rewards_arena.scar","132"
"arena","mongol","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_mon","3","2","","Age II - Horse Archers","cba_rewards_arena.scar","136"
"arena","mongol","200","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_knight_3_mon","1","3","","Age III - Cavalry upgrade","cba_rewards_arena.scar","144"
"arena","ottoman","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_spearman_1_ott","5","","","","cba_rewards_arena.scar","256"
"arena","ottoman","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_ott","3","2","","Age II - Archers","cba_rewards_arena.scar","260"
"arena","ottoman","200","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_manatarms_3_ott","3","3","","Age III - Jannisary","cba_rewards_arena.scar","268"
"arena","rus","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_spearman_1_rus","5","","","","cba_rewards_arena.scar","156"
"arena","rus","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_rus","4","2","","Age II - Knights","cba_rewards_arena.scar","160"
"arena","rus","200","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_horsearcher_3_rus","3","3","","Age III - Cavalry Upgrade","cba_rewards_arena.scar","168"
"arena","sultanate","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_spearman_1_sul","5","","","","cba_rewards_arena.scar","181"
"arena","sultanate","100","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_spearman_1_sul","4","2","","Age II - Spearman & Swordsman","cba_rewards_arena.scar","185"
"arena","sultanate","250","upgrade_const+unit_upgrade+age","BP_GetSquadBlueprint|unit_war_elephant_3_sul","1","3","","Age III - War Elephant","cba_rewards_arena.scar","193"
"onslaught","abbasid","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_abb","40","","","","cba_rewards_onslaught.scar","1582"
"onslaught","abbasid","50","upgradeBP","upgrade_camel_archer_comp_bow_abb","","","","Loc:""$42764"",""$11183483""","cba_rewards_onslaught.scar","1586"
