"Name","Namespace","ParamRaw","Description"
"ActionMarker_SetVisible","ActionMarker","String name, Boolean visible","Set whether or not an action marker is visible."
"ActionMarker_StartAction","ActionMarker","String name","Start the given action marker's FX."
"ActionMarker_StopAction","ActionMarker","String name","Stop the given action marker's FX."
"AI_AddHeavyCoverEbpOccupancyOverride","AI","PlayerID pPlayer, ScarEntityPBG ebp, Integer occupancyOverride","overrides the Heavy Cover Occupancy for the passed EBP"
"AI_AddPrefab","AI","PlayerID player, String name, String behaviourName, Real radius, Integer minDifficulty, Integer maxDifficulty, Boolean canReassign, Boolean active","Adds a prefab to the AIPrefab system. Target must be set up in a follow up call with returned ID"
"AI_AreThereAnyDeepwaterFish","AI","PlayerID aiPlayer","Returns whether or not there are any deepwater fish deposits on the map."
"AI_CacheCombatFeatureTrainingData","AI","Integer conflictID, PlayerID playerA, PlayerID playerB","Log the combat result features of all squads owned by a player for a given conflict"
"AI_CalculateCombatFitnessEstimate","AI","SGroupID teamASquads, EGroupID teamAEntities, PropertyBagGroup teamAPBGs, SGroupID teamBSquads, EGroupID teamBEntities, PropertyBagGroup teamBPBGs, PlayerID aiPlayerA, PlayerID playerB, Boolean playerAIsAttacker","Get combat fitness estimate. Return value will be between 1.0 and 0.0. 1.0 means teamA wins outright, 0.0 means teamB wins outright."
"AI_CanEntityCauseSuppression","AI","PlayerID aiPlayer, EntityID entity","Checks if this entity can cause suppression"
"AI_CanLoadSquadAndAttackCurrentTarget","AI","EntityID entity, SquadID squad, Boolean bCheckSquadState, Boolean bOverload","Check if the entity can load squad and shoot its target after loading (This function should only be called by AI)"
"AI_CanSquadCauseSuppression","AI","PlayerID aiPlayer, SquadID pSquad","Checks if this squad can cause suppression"
"AI_CanSquadDecrew","AI","SquadID pDriverSquad, EntityID pDecrewTargetEntity","Checks if this squad can decrew the entity"
"AI_ClearCombatTrainingCacheEntry","AI","Integer conflictID","Clear a combat entry from the cache, typically done instead of logging it"
"AI_ClearPBGRepairPriority","AI","PlayerID pPlayer, String pbgShortname","This clears the repair priority value for a given squad or building PBG."
"AI_ClearPrefabAIIntents","AI","UniqueID prefabId, PlayerID player","Clear all intents associated with this AIPrefab"
"AI_CombatFitnessCharacterizesSquad","AI","PlayerID player, PropertyBagGroup squadPBG","Returns true if the configured input feature calculators characterizes this squad"
"AI_CombatFitnessGetDefensiveUpgradesForStructureArchetypeMember","AI","PropertyBagGroup memberPBG","Returns the defensive upgrades for this structure archetype member"
"AI_CombatFitnessGetHealerPBGs","AI","","Returns healer feature option pbgs"
"AI_CombatFitnessGetOffensiveUpgradesForStructureArchetypeMember","AI","PropertyBagGroup memberPBG","Returns the offensive upgrades for this structure archetype member"
"AI_CombatFitnessGetPlayerUpgrades","AI","","Returns the player upgrades configured in the player upgrade input calculator"
"AI_CombatFitnessGetSquadArchetypeNames","AI","","Returns squad pbgs for all squad archetypes"
"AI_CombatFitnessGetSquadArchetypePBGs","AI","String archtypeNameStr","Returns squad pbgs for a given archetype (assuming that archetype is composed of squad pbgs)"
"AI_CombatFitnessGetStructureArchetypePBGs","AI","String archtypeNameStr","Returns entity pbgs for a given archetype (assuming that archetype is composed of entity pbgs)"
"AI_ConvertToSimEntity","AI","EntityID pAIEntity","Converts an AIEntity into an Entity"
"AI_ConvertToSimPlayer","AI","PlayerID pAIPlayer","Converts an AIPlayer into a Player"
"AI_ConvertToSimSquad","AI","SquadID pAISquad","Converts an AISquad into a Squad"
"AI_CreateAICombatFitnessLogs","AI","","Create the combat feature logs in the game log directory"
"AI_CreateEncounter","AI","PlayerID pPlayer, Integer encounterType","Create a new encounter for player"
"AI_DebugAttackEncounterPositionScoringEnable","AI","Boolean enable","Enables/disables debugging of AI Attack Encounter Encounter Position Scoring"
"AI_DebugAttackEncounterPositionScoringIsEnabled","AI","","Returns true if AI Attack Encounter Position Scoring is enabled"
"AI_DebugLogGroupCombatRatings","AI","SGroupID sgroup, EGroupID egroup, PlayerID player","Prints detailed rating debug info in the AILog for all squads and entities in the groups"
"AI_DebugLogPBGCombatRatings","AI","PropertyBagGroup pbgList, PlayerID player","Prints detailed rating debug info in the AILog for all the PBGs in the list"
"AI_DebugLuaEnable","AI","Boolean enable","Enables/disables AI Lua Debugging"
"AI_DebugLuaIsEnabled","AI","","Returns true if AI Lua Debugging is enabled"
"AI_DebugRatingEnable","AI","Boolean enable","Enables/disables AI Construction Debugging"
"AI_DebugRatingIsEnabled","AI","","Returns true if AI Construction Debugging is enabled"
"AI_DebugRenderAllTaskChildrenEnable","AI","Boolean enable","Enables/disables AI Rendering of All Task Children"
"AI_DebugRenderAllTaskChildrenIsEnabled","AI","","Returns true if AI Rendering of All Task Children is enabled"
"AI_DebugSkirmishForwardDeployEnable","AI","Boolean enable","Enables/disables AI Skirmish ForwardDeploy Debugging"
"AI_DebugSkirmishForwardDeployIsEnabled","AI","","Returns true if AI Skirmish ForwardDeploy Debugging is enabled"
"AI_DisableAllEconomyOverrides","AI","PlayerID pPlayer","Disable all of the economy overrides for the AI player"
"AI_DoString","AI","Integer playerID, String string","Execute a string as lua in the given player's AI LuaConfig"
"AI_DoWeHaveWaterLanes","AI","PlayerID aiPlayer","Returns whether or not we are on a map with water lanes."
"AI_Enable","AI","PlayerID pPlayer, Boolean enable","Enables or Disables an AI player"
"AI_EnableAll","AI","Boolean enable","Enables or Disables all AI players"
"AI_EnableEconomyOverride","AI","PlayerID pPlayer, String overrideName, Boolean enable","Enable or disable the economy override for the AI player"
"AI_FindAISquadByID","AI","PlayerID pPlayer, Integer UID","Finds an AISquad owned by the specified player"
"AI_FindBestProducibleEntityPBGforEntityTypes","AI","PlayerID player, String entityTypeNames","Find the current best producible Entity PBG corresponding to the specified Entity Types."
"AI_FindBestProducibleSquadPBGforSquadTypes","AI","PlayerID player, String squadTypeNames","Find the current best producible Squad PBG corresponding to the specified Squad Types."
"AI_FindClosestOpenPositionForAbility","AI","ConstTargetHandle caster, PropertyBagGroup pAbilityPBG, Position posIn","Find the closest open position from a given position for a given ability blueprint"
"AI_FindClosestOpenPositionForAbilityWithinRange","AI","ConstTargetHandle caster, PropertyBagGroup pAbilityPBG, Position posIn, Integer minDist, Integer maxDist","Find the closest open position from a given position and ability blueprint, taking into account a min"
"AI_FindClosestOpenPositionForStructure","AI","PlayerID aiPlayer, PropertyBagGroup pEntityPBG, Position posIn","Find the closest open position from a given position for a given Entity blueprint"
"AI_FindConstructionLocation","AI","PlayerID pPlayer, PropertyBagGroup pPbg, Position position","Find a valid construction location for a pbg, using a spiral search. Returns INVALID_POS if it fails."
"AI_GetAbilityMaxNumTargets","AI","ScarAbilityPBG ability","Returns the maximum number of targets for the given ability, or -1 if the ability is invalid."
"AI_GetAllMilitaryPointsOfType","AI","PlayerID pAIPlayer, AIMilitaryTargetType type, EGroupID egroup","Stores entities of a specific type owned by a player in an egroup parameter"
"AI_GetAndReserveNextTaskID","AI","PlayerID player","Get and reserve the next available AITaskID (which can be used to create an AIEncounter from SCAR)."
"AI_GetAnySquadCombatTarget","AI","SquadID pSquad","Returns the current squad target for the given squad (null if no target, or target is non-squad entity)"
"AI_GetDebugAIPlayerID","AI","","Get current AI player ID"
"AI_GetDifficulty","AI","PlayerID pPlayer","Gets the difficulty level of this AI player"
